brand_slug,ready_folder,posts,compiled,ready_blog_dir
baskin-robbins,07_baskin-robbins,1,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\baskin-robbins\all-posts-baskin-robbins.md,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\00_blog_posts
lotteria,03_lotteria,4,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\lotteria\all-posts-lotteria.md,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\03_lotteria\00_blog_posts
megacoffee,01_megacoffee,15,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\megacoffee\all-posts-megacoffee.md,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\00_blog_posts
subway,02_subway,11,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\all-posts-subway.md,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts
twosome-place,06_twosome-place,2,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\twosome-place\all-posts-twosome-place.md,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\00_blog_posts
